	# Unidades solares							
# ID	Masa	Luminos	Rad	T_eff (K)		log_L	log_R	log_T_eff
1	60	499000	13.4	42000		5.698100546	1.127104798	4.62324929
2	37	324000	12.2	39500		5.51054501	1.086359831	4.596597096
3	0	216000	11	37500		5.334453751	1.041392685	4.574031268
4	23	147000	10	35800		5.167317335	1	4.553883027
5	17.5	32500	6.7	30000		4.511883361	0.826074803	4.477121255
6	0	9950	5.2	25400		3.997823081	0.716003344	4.404833717
7	0	2920	4.1	20900		3.465382851	0.612783857	4.320146286
8	7.6	1580	3.8	18800		3.198657087	0.579783597	4.274157849
9	5.9	480	3.2	15200		2.681241237	0.505149978	4.181843588
10	0	272	2.9	13700		2.434568904	0.462397998	4.136720567
11	0	160	2.7	12500		2.204119983	0.431363764	4.096910013
12	3.8	96.7	2.5	11400		1.985426474	0.397940009	4.056904851
13	0	60.7	2.3	10500		1.783188691	0.361727836	4.021189299
14	2.9	39.4	2.2	9800		1.595496222	0.342422681	3.991226076
15	0	30.3	2.1	9400		1.481442629	0.322219295	3.973127854
16	0	23.6	2	9020		1.372912003	0.301029996	3.955206538
17	2	12.3	1.8	8190		1.089905111	0.255272505	3.913283902
18	0	7.13	1.5	7600		0.85308953	0.176091259	3.880813592
19	1.6	5.21	1.4	7300		0.716837723	0.146128036	3.86332286
20	0	3.89	1.3	7050		0.589949601	0.113943352	3.848189117
21	1.4	2.56	1.2	6650		0.408239965	0.079181246	3.822821645
22	0	1.68	1.1	6250		0.225309282	0.041392685	3.795880017
23	1.05	1.25	1.06	5940		0.096910013	0.025305865	3.773786445
24	0	1.07	1.03	5790		0.029383778	0.012837225	3.762678564
25	1	1	1	5777		0	0	3.761702368
26	0	0.656	0.96	5310		-0.183096161	-0.017728767	3.725094521
27	0.79	0.552	0.93	5150		-0.258060922	-0.031517051	3.711807229
28	0	0.461	0.91	4990		-0.336299075	-0.040958608	3.698100546
29	0	0.318	0.86	4690		-0.49757288	-0.065501549	3.671172843
30	0	0.263	0.83	4540		-0.580044252	-0.080921908	3.657055853
31	0.67	0.216	0.8	4410		-0.665546249	-0.096910013	3.644438589
32	0	0.145	0.74	4150		-0.838631998	-0.13076828	3.618048097
33	0.51	0.077	0.63	3840		-1.113509275	-0.200659451	3.584331224
34	0	0.05	0.56	3660		-1.301029996	-0.251811973	3.563481085
35	0.4	0.032	0.48	3520		-1.494850022	-0.318758763	3.546542663
36	0	0.02	0.41	3400		-1.698970004	-0.387216143	3.531478917
37	0	0.013	0.35	3290		-1.886056648	-0.455931956	3.517195898
38	0.21	0.0076	0.29	3170		-2.119186408	-0.537602002	3.501059262
39	0	0.0044	0.24	3030		-2.356547324	-0.619788758	3.481442629
40	0	0.0025	0.2	2860		-2.602059991	-0.698970004	3.456366033
41	0	741000	18.5	39400		5.869818208	1.267171728	4.595496222
42	0	519000	16.8	37800		5.715167358	1.225309282	4.5774918
43	0	375000	15.4	36500		5.574031268	1.187520721	4.562292864
44	0	277000	14.3	35000		5.442479769	1.155336037	4.544068044
45	20	84700	11.4	29200		4.92788341	1.056904851	4.465382851
46	0	32200	10	24500		4.507855872	1	4.389166084
47	0	11100	8.6	20200		4.045322979	0.934498451	4.305351369
48	0	6400	8	18300		3.806179974	0.903089987	4.26245109
49	7	2080	6.7	15100		3.318063335	0.826074803	4.178976947
50	0	1200	6.1	13800		3.079181246	0.785329835	4.139879086
51	0	710	5.5	12700		2.851258349	0.740362689	4.103803721
52	0	425	5	11700		2.62838893	0.698970004	4.068185862
53	0	263	4.5	10900		2.419955748	0.653212514	4.037426498
54	4	169	4.1	10200		2.227886705	0.612783857	4.008600172
55	0	129	3.9	9820		2.11058971	0.591064607	3.992111488
56	0	100	3.7	9460		2	0.568201724	3.975891136
57	0	52	3.3	8550		1.716003344	0.51851394	3.931966115
58	0	33	3.1	7830		1.51851394	0.491361694	3.893761762
59	0	27	3.2	7400		1.431363764	0.505149978	3.86923172
60	0	24	3.3	7000		1.380211242	0.51851394	3.84509804
61	0	22	3.8	6410		1.342422681	0.579783597	3.80685803
62	1	29	6	5470		1.462397998	0.77815125	3.737987326
63	0	31	6.7	5300		1.491361694	0.826074803	3.72427587
64	0	44	9.6	4800		1.643452676	0.982271233	3.681241237
65	1.1	50	10.9	4660		1.698970004	1.037426498	3.668385917
66	0	58	12.5	4510		1.763427994	1.096910013	3.654176542
67	0	79	16.4	4260		1.897627091	1.214843848	3.629409599
68	0	93	18.7	4150		1.968482949	1.271841607	3.618048097
69	1.2	110	21.4	4050		2.041392685	1.330413773	3.607455023
70	0	154	27.6	3870		2.187520721	1.440909082	3.587710965
71	1.2	256	39.3	3690		2.408239965	1.59439255	3.567026366
72	0	355	48.6	3600		2.550228353	1.686636269	3.556302501
73	1.3	483	58.5	3540		2.683947131	1.767155866	3.549003262
74	0	643	69.7	3480		2.808210973	1.843232778	3.541579244
75	0	841	82	3440		2.924795996	1.913813852	3.536558443
76	0	1100	96.7	3380		3.041392685	1.985426474	3.5289167
77	0	1470	116	3330		3.167317335	2.064457989	3.522444234
78	70	1140000	21.2	40900		6.056904851	1.326335861	4.611723308
79	40	998000	22.4	38500		5.999130541	1.350248018	4.58546073
80	0	877000	23.8	36200		5.942999593	1.376576957	4.558708571
81	28	769000	25.3	34000		5.88592634	1.403120521	4.531478917
82	25	429000	31.7	26200		5.632457292	1.501059262	4.418301291
83	0	261000	37.3	21400		5.416640507	1.571708832	4.330413773
84	0	157000	42.8	17600		5.195899652	1.631443769	4.245512668
85	0	123000	45.8	16000		5.089905111	1.660865478	4.204119983
86	20	79100	51.1	13600		4.898176483	1.7084209	4.133538908
87	0	65200	53.8	12600		4.814247596	1.730782276	4.100370545
88	0	54800	56.4	11800		4.738780558	1.751279104	4.071882007
89	0	47200	58.9	11100		4.673941999	1.770115295	4.045322979
90	0	41600	61.8	10500		4.619093331	1.790988475	4.021189299
91	16	37500	64.9	9980		4.574031268	1.812244697	3.999130541
92	0	35400	67.3	9660		4.549003262	1.828015064	3.984977126
93	0	33700	69.7	9380		4.527629901	1.843232778	3.972202838
94	13	30500	78.6	8610		4.484299839	1.895422546	3.935003151
95	0	29100	91.1	7910		4.463892989	1.959518377	3.898176483
96	12	28800	102	7460		4.459392488	2.008600172	3.872738827
97	0	28700	114	7030		4.457881897	2.056904851	3.846955325
98	10	29100	140	6370		4.463892989	2.146128036	3.804139432
99	0	29700	174	5750		4.472756449	2.240549248	3.759667845
100	10	30300	202	5370		4.481442629	2.305351369	3.729974286
101	0	30800	218	5190		4.488550717	2.338456494	3.715167358
102	0	32400	272	4700		4.51054501	2.434568904	3.672097858
103	13	33100	293	4550		4.519827994	2.46686762	3.658011397
104	0	34000	314	4430		4.531478917	2.496929648	3.646403726
105	0	36100	362	4190		4.557507202	2.558708571	3.622214023
106	0	37500	386	4090		4.574031268	2.586587305	3.611723308
107	13	39200	415	3990		4.593286067	2.618048097	3.600972896
108	0	43200	473	3830		4.635483747	2.674861141	3.583198774
109	13	51900	579	3620		4.715167358	2.762678564	3.558708571
110	0	60300	672	3490		4.780317312	2.827369273	3.542825427
111	19	72100	791	3370		4.857935265	2.898176483	3.527629901
112	0	89500	967	3210		4.951823035	2.985426474	3.506505032
113	0	117000	1220	3060		5.068185862	3.086359831	3.485721426
114	24	165000	1640	2880		5.217483944	3.214843848	3.459392488
115	0	264000	2340	2710		5.421603927	3.369215857	3.432969291
116	0	346736.8505	11.45	41399.96748		5.54	1.058805487	4.617
117	0	660693.448	13.43	44874.53899		5.82	1.128076013	4.652
118	27	151356.1248	9.42	37068.07218		5.18	0.974050903	4.569
119	25	123026.8771	8.95	36140.98626		5.09	0.951823035	4.558
120	23	97723.7221	8.47	35075.1874		4.99	0.92788341	4.545
121	21.3	81283.05162	8.06	34276.77865		4.91	0.906335042	4.535
122	19.8	66069.3448	7.72	33265.95533		4.82	0.8876173	4.522
123	18.5	52480.74602	7.5	31915.37855		4.72	0.875061263	4.504
124	17.7	44668.35922	7.16	31405.08694		4.65	0.854913022	4.497
125	15	26915.34804	6.48	28973.43588		4.43	0.811575006	4.462
126	11	13489.62883	5.71	26001.59563		4.13	0.756636108	4.415
127	10	8128.305162	5.02	24490.63242		3.91	0.700703717	4.389
128	7.3	2691.534804	4.06	20606.29913		3.43	0.608526034	4.314
129	6	1584.893192	3.89	18492.68619		3.2	0.589949601	4.267
130	5.4	977.237221	3.61	16982.43652		2.99	0.557507202	4.23
131	5.1	776.2471166	3.46	16405.89773		2.89	0.539076099	4.215
132	4.7	588.8436554	3.36	15703.62804		2.77	0.526339277	4.196
133	4.3	371.5352291	3.27	14487.71854		2.57	0.514547753	4.161
134	3.92	301.995172	2.94	13995.87323		2.48	0.46834733	4.146
135	3.38	154.8816619	2.86	12302.68771		2.19	0.456366033	4.09
136	2.75	72.44359601	2.49	10690.54879		1.86	0.396199347	4.029
137	2.68	63.09573445	2.45	10399.20166		1.8	0.389166084	4.017
138	2.18	38.01893963	2.193	9705.099672		1.58	0.341038632	3.987
139	2.05	30.90295433	2.136	9289.663868		1.49	0.329601248	3.968
140	1.98	23.98832919	2.117	8790.225168		1.38	0.325720858	3.944
141	1.86	16.98243652	1.861	8590.135215		1.23	0.269746373	3.934
142	1.93	13.48962883	1.794	8260.379496		1.13	0.253822439	3.917
143	1.88	12.30268771	1.785	8090.958992		1.09	0.25163822	3.908
144	1.83	11.22018454	1.775	7906.78628		1.05	0.249198357	3.898
145	1.77	10	1.75	7762.471166		1	0.243038049	3.89
146	1.81	9.120108394	1.747	7585.77575		0.96	0.242292905	3.88
147	1.75	8.317637711	1.747	7396.052751		0.92	0.242292905	3.869
148	1.61	7.244359601	1.728	7227.698036		0.86	0.237543738	3.859
149	1.5	6.165950019	1.679	7014.552984		0.79	0.225050696	3.846
150	1.46	5.12861384	1.622	6823.386941		0.71	0.21005085	3.834
